candidate,dataset,family,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,p95_ms,double_build_seconds,knowledge_bytes,agent_execution_seconds,native_trial_seconds,generation,profile
g1-neural-titles,astro,embeddings,hybrid,True,40,0.7434446547499104,0.9104166666666667,0.73625,0.75,247.5630109984195,63.081206380004005,13779764,86.915714,129.717887,1,neural-titles
g1-neural-titles,astro,embeddings,lexical,False,40,0.8595317947189383,0.8875,0.9541666666666666,0.725,81.07467999798246,63.081206380004005,13779764,86.915714,129.717887,1,neural-titles
g1-neural-titles,astro,embeddings,vector,False,40,0.5064517991429629,0.6770833333333333,0.5192261904761905,0.475,172.238863997336,63.081206380004005,13779764,86.915714,129.717887,1,neural-titles
g1-neural-titles,data-science,legacy,lexical,True,40,0.8321588233274824,0.95,0.8175000000000001,0.9,0.256539999099914,7.903065525002603,52554726,10.102716,51.718799,1,neural-titles
g1-neural-titles,astro,adaptive,adaptive,True,40,0.8085569389955969,0.86875,0.9104166666666667,0.725,2627.941501996247,47.79736729000433,34362290,109.554212,151.603539,1,neural-titles
g1-neural-titles,enterprise,graphify,search,True,40,0.13626228624863054,0.17371031746031745,0.20423611111111112,0.1,136.26134600053774,133.4794652809942,14940327,137.461603,178.259681,1,neural-titles
g1-neural-titles,astro,entity-graph,entity,False,40,0.6801418974632101,0.8729166666666666,0.6886011904761904,0.725,1011.2284610004281,86.9863777999999,114816438,241.728499,282.714815,1,neural-titles
g1-neural-titles,astro,entity-graph,fusion,True,40,0.6947023065501792,0.8229166666666666,0.7670833333333333,0.65,1015.0020239962032,86.9863777999999,114816438,241.728499,282.714815,1,neural-titles
g1-neural-titles,astro,entity-graph,lexical,False,40,0.726198653452655,0.825,0.8204166666666668,0.6,1017.0228379938635,86.9863777999999,114816438,241.728499,282.714815,1,neural-titles
g1-neural-titles,astro,entity-graph,traversal,False,40,0.32300205166298396,0.5041666666666667,0.303125,0.35,1033.9739720002399,86.9863777999999,114816438,241.728499,282.714815,1,neural-titles
g1-neural-titles,enterprise,adaptive,adaptive,True,40,0.5033603261131847,0.5899801587301587,0.5747222222222221,0.475,1302.6524480010266,61.60653933299909,8016106,94.708264,135.757878,1,neural-titles
g1-neural-titles,data-science,graphify,search,True,40,0.5440998456059355,0.5395833333333333,0.625,0.475,323.68442499864614,36.0458047639986,74673183,50.979723,92.278679,1,neural-titles
g1-neural-titles,astro,turso,lexical-sql,True,40,0.47813551023378115,0.6666666666666667,0.4916964285714286,0.475,136.7478129977826,19.50702738900145,32612315,23.6361,64.496788,1,neural-titles
g1-neural-titles,enterprise,ensemble,fast,False,40,0.5235778074844945,0.5899801587301587,0.5910416666666667,0.475,1364.8485480007366,268.46251640099945,22719373,378.46984,420.686039,1,neural-titles
g1-neural-titles,enterprise,ensemble,quality,True,40,0.5566385701162351,0.5899801587301587,0.6041666666666667,0.475,1643.53019400005,268.46251640099945,22719373,378.46984,420.686039,1,neural-titles
g1-neural-titles,enterprise,ensemble,robust,False,40,0.5033603261131847,0.5899801587301587,0.5747222222222221,0.475,1320.4445709998254,268.46251640099945,22719373,378.46984,420.686039,1,neural-titles
g1-neural-titles,data-science,ensemble,fast,False,40,0.9373767924218106,0.9916666666666666,0.9550000000000001,0.975,8657.59950500069,1231.2865368179991,917220248,2049.635849,2092.305844,1,neural-titles
g1-neural-titles,data-science,ensemble,quality,True,40,0.9296284469032129,0.9916666666666666,0.9410714285714287,0.975,10189.20205500035,1231.2865368179991,917220248,2049.635849,2092.305844,1,neural-titles
