dataset,family,treatment,candidate,strategy,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,query_p95_ms,double_build_seconds,knowledge_bytes,agent_seconds,native_trial_seconds
enterprise-rag-40,classical,construction,candidate-015,relevance-diversity,association,False,40,0.48205239960246027,0.45863095238095236,0.575,0.375,42.112135000024864,57.99889873099983,8014961,63.746179,106.044187
enterprise-rag-40,classical,construction,candidate-015,relevance-diversity,bm25,False,40,0.5915138553872126,0.6498015873015872,0.6052777777777778,0.55,38.44735499933449,57.99889873099983,8014961,63.746179,106.044187
enterprise-rag-40,classical,construction,candidate-015,relevance-diversity,fusion,True,40,0.47352289832862493,0.45863095238095236,0.575,0.375,40.14808800002356,57.99889873099983,8014961,63.746179,106.044187
enterprise-rag-40,classical,construction,candidate-015,relevance-diversity,topic,False,40,0.4827892052340901,0.4622023809523809,0.575,0.375,40.21406999981991,57.99889873099983,8014961,63.746179,106.044187
enterprise-rag-40,classical,construction,candidate-016,relevance-diversity,association,False,40,0.45131228958633285,0.42738095238095236,0.575,0.325,43.4088089996294,58.73526785000013,8014931,64.67035,107.188013
enterprise-rag-40,classical,construction,candidate-016,relevance-diversity,bm25,False,40,0.5915138553872126,0.6498015873015872,0.6052777777777778,0.55,40.56046599998808,58.73526785000013,8014931,64.67035,107.188013
enterprise-rag-40,classical,construction,candidate-016,relevance-diversity,fusion,True,40,0.4330053082337522,0.4121031746031746,0.575,0.3,43.459286999677715,58.73526785000013,8014931,64.67035,107.188013
enterprise-rag-40,classical,construction,candidate-016,relevance-diversity,topic,False,40,0.4624728383196238,0.4497023809523809,0.575,0.35,42.53153099944029,58.73526785000013,8014931,64.67035,107.188013
enterprise-rag-40,adaptive,construction,baseline,baseline,adaptive,True,40,0.5068734091416912,0.5906746031746032,0.5750694444444444,0.475,1254.0611100002934,58.102212259000225,8016106,90.048144,131.589866
enterprise-rag-40,adaptive,construction,candidate-001,length-normalization,adaptive,True,40,0.5057704507992754,0.5859126984126984,0.576140873015873,0.475,1279.6758380000028,59.28971080199972,8016104,91.441426,133.637614
enterprise-rag-40,adaptive,construction,candidate-002,length-normalization,adaptive,True,40,0.5154055533484039,0.6191468253968254,0.5775694444444445,0.5,1258.9679299999261,59.770484102999944,8016104,91.714479,134.111748
enterprise-rag-40,adaptive,construction,candidate-003,length-normalization,adaptive,True,40,0.5190448134260887,0.5865079365079364,0.5961805555555555,0.5,1360.1431950000915,59.61481587800017,8016104,91.79241,133.640612
enterprise-rag-40,adaptive,construction,candidate-004,bm25-saturation,adaptive,True,40,0.5103541402768769,0.6155753968253969,0.5775694444444445,0.5,1299.2455660000815,59.611649012999806,8016104,92.306987,134.019507
enterprise-rag-40,adaptive,construction,candidate-005,bm25-saturation,adaptive,True,40,0.5184405711793014,0.5865079365079364,0.5966269841269841,0.5,1387.2057260000474,58.31409345799966,8016104,92.624843,134.893895
enterprise-rag-40,adaptive,construction,candidate-006,bm25-saturation,adaptive,True,40,0.49850607101932515,0.5747023809523809,0.5796825396825397,0.475,1366.984510000293,58.708598488999996,8016104,92.644906,135.244655
enterprise-rag-40,adaptive,construction,candidate-007,title-weight,adaptive,True,40,0.5190448134260887,0.5865079365079364,0.5961805555555555,0.5,1276.7342950000966,61.36291762200017,8016104,94.239706,137.239741
enterprise-rag-40,adaptive,construction,candidate-008,title-weight,adaptive,True,40,0.5190448134260887,0.5865079365079364,0.5961805555555555,0.5,1233.956686000056,58.79083026999979,8016104,90.271375,132.810137
